Date,Open,High,Low,Close,Adj Close,Volume
7/20/2012,185.55,186.33,183.72,183.99,128.02,5010026
7/23/2012,181.43,182.89,179.92,182.44,126.94,4084107
7/24/2012,182.52,182.91,180.27,181.97,126.62,3762567
7/25/2012,181.94,184.29,180.99,182.68,127.11,4010155
7/26/2012,184.98,186.38,184.10,185.42,129.02,3433913
7/27/2012,186.52,188.73,185.42,187.75,130.64,4369456
7/30/2012,187.69,189.14,187.30,188.03,130.83,2915202
7/31/2012,187.86,188.89,187.27,187.36,130.37,3668322
8/1/2012,188.30,189.15,186.16,186.60,129.84,2677028
8/2/2012,185.62,187.95,184.53,185.90,129.35,2941980
8/3/2012,187.84,190.20,187.53,189.79,132.06,3428893
8/6/2012,190.02,191.15,189.79,190.02,132.22,2445339
8/7/2012,190.66,192.05,190.06,191.14,132.99,3357032
8/8/2012,189.55,190.91,189.45,190.28,132.96,2163442
8/9/2012,189.89,190.69,189.19,189.69,132.55,2259465
8/10/2012,189.17,190.60,188.57,190.53,133.14,2720123
8/13/2012,190.13,191.19,189.09,190.26,132.95,2529542
8/14/2012,190.13,190.56,189.02,189.57,132.47,2680166
8/15/2012,190.15,190.56,189.22,189.67,132.54,2208943
8/16/2012,190.03,192.47,189.41,192.01,134.17,2855057
8/17/2012,192.24,193.12,191.84,192.37,134.42,2669183
8/20/2012,191.86,192.28,191.23,191.68,133.94,2443456
8/21/2012,192.15,192.16,189.65,189.91,132.71,3254420
8/22/2012,189.90,189.91,188.24,188.58,131.77,3447721
8/23/2012,188.37,188.69,186.85,187.09,130.74,2884240
8/24/2012,186.39,189.40,185.66,189.07,132.12,2760917
8/27/2012,189.25,189.58,187.01,187.08,130.73,2613745
8/28/2012,186.96,187.49,185.95,186.30,130.18,2656003
8/29/2012,186.55,187.42,186.33,186.50,130.32,2239904
8/30/2012,186.20,186.87,184.68,184.87,129.18,2866981
8/31/2012,185.76,187.33,184.95,186.28,130.17,3340192
9/4/2012,187.96,188.50,184.75,185.98,129.96,4722062
9/5/2012,185.86,187.24,185.36,186.46,130.30,3464875
9/6/2012,187.63,190.69,187.49,190.34,133.01,4112558
9/7/2012,190.36,190.73,189.37,190.73,133.28,3570730
9/10/2012,190.62,192.94,189.99,192.11,134.24,4401568
9/11/2012,191.73,194.51,191.69,194.33,135.79,4090488
9/12/2012,194.57,195.65,194.03,194.81,136.13,3435064
9/13/2012,195.39,197.72,194.51,197.28,137.86,4058062
9/14/2012,197.17,198.52,196.99,197.72,138.16,4243727
9/17/2012,196.51,198.84,196.51,198.04,138.39,3425755
9/18/2012,197.78,198.74,197.40,197.96,138.33,2590001
9/19/2012,198.42,198.44,196.95,197.35,137.90,2725458
9/20/2012,196.80,197.89,196.27,197.11,137.74,3911099
9/21/2012,198.24,198.80,196.86,196.92,137.60,13358989
9/24/2012,196.00,197.00,195.89,196.26,137.14,3672611
9/25/2012,196.56,198.20,195.94,195.97,136.94,3499079
9/26/2012,196.03,196.92,194.93,195.03,136.28,3580772
9/27/2012,195.38,197.80,195.16,196.85,137.56,2899407
9/28/2012,196.62,199.16,196.28,198.33,138.59,5136801
10/1/2012,198.86,202.44,198.80,201.21,140.60,5707917
10/2/2012,201.68,202.17,199.33,200.61,140.18,3473766
10/3/2012,200.71,202.01,200.10,201.25,140.63,3339146
10/4/2012,201.03,201.69,199.36,201.14,140.55,3093545
10/5/2012,201.86,202.48,200.82,201.33,140.68,2989886
